6168343	παγκάλως	πάγκαλος	all beautiful	331
6168345	ἦν	εἰμί	pharr17	331
6168346	δ’	δέ	pharr4	331
6168347	ἐγώ	ἐγώ	pharr15	331
6168349	λέγεις	λέγω	to pick; to say	331
6168351	ὦ	ὦ	pharr28	331
6168352	Κέφαλε	Κέφαλος	Cephalus	331
6168354	τοῦτο	οὗτος	pharr14	331
6168355	δ’	δέ	pharr4	331
6168356	αὐτό	αὐτός	pharr13	331
6168358	τὴν	ὁ	pharr1	331
6168359	δικαιοσύνην	δικαιοσύνη	righteousness	331
6168361	πότερα	πότερον	whether	331
6168362	τὴν	ὁ	pharr1	331
6168363	ἀλήθειαν	ἀλήθεια	truth	331
6168364	αὐτὸ	αὐτός	pharr13	331
6168365	φήσομεν	φημί	to say	331
6168366	εἶναι	εἰμί	pharr17	331
6168367	ἁπλῶς	ἁπλόος	single	331
6168368	οὕτως	οὕτως	pharr22	331
6168369	καὶ	καί	pharr3	331
6168370	τὸ	ὁ	pharr1	331
6168371	ἀποδιδόναι	ἀποδίδωμι	to give back	331
6168372	ἄν	ἐάν	pharr31	331
6168373	τίς	τις	pharr29	331
6168374	τι	τις	pharr29	331
6168375	παρά	παρά	pharr4	331
6168376	του	τις	pharr29	331
6168377	λάβῃ	λαμβάνω	pharr21	331
6168379	ἢ	ἤ	pharr33	331
6168380	καὶ	καί	pharr3	331
6168381	αὐτὰ	αὐτός	pharr13	331
6168382	ταῦτα	οὗτος	pharr14	331
6168383	ἔστιν	εἰμί	pharr17	331
6168384	ἐνίοτε	ἐνίοτε	sometimes	331
6168385	μὲν	μέν	pharr8	331
6168386	δικαίως	δίκαιος	pharr2	331
6168388	ἐνίοτε	ἐνίοτε	sometimes	331
6168389	δὲ	δέ	pharr4	331
6168390	ἀδίκως	ἄδικος	pharr33	331
6168391	ποιεῖν	ποιέω	pharr23	331
6168393	οἷον	οἷος	(such a kind) as; for οἷός τε see οἷος III.2	331
6168394	τοιόνδε	τοιόσδε	such a	331
6168395	λέγω	λέγω	to pick; to say	331
6168397	πᾶς	πᾶς	pharr22	331
6168398	ἄν	ἄν	pharr17	331
6168399	που	που	pharr29	331
6168400	εἴποι	λέγω	to pick; to say	331
6168402	εἴ	εἰ	pharr15	331
6168403	τις	τις	pharr29	331
6168404	λάβοι	λαμβάνω	pharr21	331
6168405	παρὰ	παρά	pharr4	331
6168406	φίλου	φίλος	pharr2	331
6168407	ἀνδρὸς	ἀνήρ	a man	331
6168408	σωφρονοῦντος	σωφρονέω	to be sound of mind	331
6168409	ὅπλα	ὅπλον	pharr15	331
6168411	εἰ	εἰ	pharr15	331
6168412	μανεὶς	μαίνομαι	to rage	331
6168413	ἀπαιτοῖ	ἀπαιτέω	to demand back	331
6168415	ὅτι	ὅτι	adv. + superl.	331
6168416	οὔτε	οὔτε	pharr30	331
6168417	χρὴ	χρή	it is fated	331
6168418	τὰ	ὁ	pharr1	331
6168419	τοιαῦτα	τοιοῦτος	such as this	331
6168420	ἀποδιδόναι	ἀποδίδωμι	to give back	331
6168422	οὔτε	οὔτε	pharr30	331
6168423	δίκαιος	δίκαιος	pharr2	331
6168424	ἂν	ἄν	pharr17	331
6168425	εἴη	εἰμί	pharr17	331
6168426	ὁ	ὁ	pharr1	331
6168427	ἀποδιδούς	ἀποδίδωμι	to give back	331
6168429	οὐδ’	οὐδέ	pharr34	331
6168430	αὖ	αὖ	again	331
6168431	πρὸς	πρός	pharr18	331
6168432	τὸν	ὁ	pharr1	331
6168433	οὕτως	οὕτως	pharr22	331
6168434	ἔχοντα	ἔχω	pharr10	331
6168435	πάντα	πᾶς	pharr22	331
6168436	ἐθέλων	ἐθέλω	pharr3	331
6168437	τ-	ὁ	pharr1	331
6168438	ἀληθῆ	ἀληθής	unconcealed	331
